DocId,Namespace,Type,Member,Reason,linux,osx,win
M:System.Security.Cryptography.HMACSHA384.#ctor(System.Byte[]),System.Security.Cryptography,HMACSHA384,.ctor(Byte[]),PNSE Unreachable,X,X,X
M:System.Security.Cryptography.HMACSHA384.set_Key(System.Byte[]),System.Security.Cryptography,HMACSHA384,set_Key(Byte[]),PNSE Unreachable,,X,
M:System.Security.Cryptography.HMACSHA512.#ctor,System.Security.Cryptography,HMACSHA512,.ctor(),PNSE Unreachable,X,X,X
M:System.Security.Cryptography.HMACSHA512.#ctor(System.Byte[]),System.Security.Cryptography,HMACSHA512,.ctor(Byte[]),PNSE Unreachable,X,X,X
M:System.Security.Cryptography.HMACSHA512.set_Key(System.Byte[]),System.Security.Cryptography,HMACSHA512,set_Key(Byte[]),PNSE Unreachable,,X,
M:System.Security.Cryptography.IncrementalHash.CreateHash(System.Security.Cryptography.HashAlgorithmName),System.Security.Cryptography,IncrementalHash,CreateHash(HashAlgorithmName),dotnet/corefx/#24462,,X,
M:System.Security.Cryptography.MD5CryptoServiceProvider.#ctor,System.Security.Cryptography,MD5CryptoServiceProvider,.ctor(),dotnet/corefx/#24462,,X,
M:System.Security.Cryptography.SHA1CryptoServiceProvider.#ctor,System.Security.Cryptography,SHA1CryptoServiceProvider,.ctor(),dotnet/corefx/#24462,,X,
M:System.Security.Cryptography.SHA1Managed.#ctor,System.Security.Cryptography,SHA1Managed,.ctor(),dotnet/corefx/#24462,,X,
M:System.Security.Cryptography.SHA256CryptoServiceProvider.#ctor,System.Security.Cryptography,SHA256CryptoServiceProvider,.ctor(),dotnet/corefx/#24462,,X,
M:System.Security.Cryptography.SHA256Managed.#ctor,System.Security.Cryptography,SHA256Managed,.ctor(),dotnet/corefx/#24462,,X,
M:System.Security.Cryptography.SHA384CryptoServiceProvider.#ctor,System.Security.Cryptography,SHA384CryptoServiceProvider,.ctor(),dotnet/corefx/#24462,,X,
M:System.Security.Cryptography.SHA384Managed.#ctor,System.Security.Cryptography,SHA384Managed,.ctor(),dotnet/corefx/#24462,,X,
M:System.Security.Cryptography.SHA512CryptoServiceProvider.#ctor,System.Security.Cryptography,SHA512CryptoServiceProvider,.ctor(),dotnet/corefx/#24462,,X,
M:System.Security.Cryptography.SHA512Managed.#ctor,System.Security.Cryptography,SHA512Managed,.ctor(),dotnet/corefx/#24462,,X,
M:System.Security.Cryptography.AesCng.#ctor,System.Security.Cryptography,AesCng,.ctor(),PNSE Unreacheable,X,X,
M:System.Security.Cryptography.AesCng.#ctor(System.String),System.Security.Cryptography,AesCng,.ctor(String),PNSE Unreacheable,X,X,
"M:System.Security.Cryptography.AesCng.#ctor(System.String,System.Security.Cryptography.CngProvider)",System.Security.Cryptography,AesCng,".ctor(String, CngProvider)",PNSE Unreacheable,X,X,
"M:System.Security.Cryptography.AesCng.#ctor(System.String,System.Security.Cryptography.CngProvider,System.Security.Cryptography.CngKeyOpenOptions)",System.Security.Cryptography,AesCng,".ctor(String, CngProvider, CngKeyOpenOptions)",PNSE Unreacheable,X,X,
M:System.Security.Cryptography.CngAlgorithm.#ctor(System.String),System.Security.Cryptography,CngAlgorithm,.ctor(String),PNSE Unreacheable,X,X,
M:System.Security.Cryptography.CngAlgorithmGroup.#ctor(System.String),System.Security.Cryptography,CngAlgorithmGroup,.ctor(String),PNSE Unreacheable,X,X,
M:System.Security.Cryptography.CngKeyBlobFormat.#ctor(System.String),System.Security.Cryptography,CngKeyBlobFormat,.ctor(String),PNSE Unreacheable,X,X,
M:System.Security.Cryptography.CngKeyCreationParameters.#ctor,System.Security.Cryptography,CngKeyCreationParameters,.ctor(),PNSE Unreacheable,X,X,
"M:System.Security.Cryptography.CngProperty.#ctor(System.String,System.Byte[],System.Security.Cryptography.CngPropertyOptions)",System.Security.Cryptography,CngProperty,".ctor(String, Byte[], CngPropertyOptions)",PNSE Unreacheable,X,X,
M:System.Security.Cryptography.CngPropertyCollection.#ctor,System.Security.Cryptography,CngPropertyCollection,.ctor(),PNSE Unreacheable,X,X,
M:System.Security.Cryptography.CngProvider.#ctor(System.String),System.Security.Cryptography,CngProvider,.ctor(String),PNSE Unreacheable,X,X,
M:System.Security.Cryptography.CngUIPolicy.#ctor(System.Security.Cryptography.CngUIProtectionLevels),System.Security.Cryptography,CngUIPolicy,.ctor(CngUIProtectionLevels),PNSE Unreacheable,X,X,
"M:System.Security.Cryptography.CngUIPolicy.#ctor(System.Security.Cryptography.CngUIProtectionLevels,System.String)",System.Security.Cryptography,CngUIPolicy,".ctor(CngUIProtectionLevels, String)",PNSE Unreacheable,X,X,
"M:System.Security.Cryptography.CngUIPolicy.#ctor(System.Security.Cryptography.CngUIProtectionLevels,System.String,System.String)",System.Security.Cryptography,CngUIPolicy,".ctor(CngUIProtectionLevels, String, String)",PNSE Unreacheable,X,X,
"M:System.Security.Cryptography.CngUIPolicy.#ctor(System.Security.Cryptography.CngUIProtectionLevels,System.String,System.String,System.String)",System.Security.Cryptography,CngUIPolicy,".ctor(CngUIProtectionLevels, String, String, String)",PNSE Unreacheable,X,X,
"M:System.Security.Cryptography.CngUIPolicy.#ctor(System.Security.Cryptography.CngUIProtectionLevels,System.String,System.String,System.String,System.String)",System.Security.Cryptography,CngUIPolicy,".ctor(CngUIProtectionLevels, String, String, String, String)",PNSE Unreacheable,X,X,
"M:System.Security.Cryptography.CryptographicException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.Security.Cryptography,CryptographicException,".ctor(SerializationInfo, StreamingContext)",PNSE Unreacheable,X,X,X
"M:System.Security.Cryptography.CryptographicUnexpectedOperationException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.Security.Cryptography,CryptographicUnexpectedOperationException,".ctor(SerializationInfo, StreamingContext)",PNSE Unreacheable,X,X,X
M:System.Security.Cryptography.CspKeyContainerInfo.#ctor(System.Security.Cryptography.CspParameters),System.Security.Cryptography,CspKeyContainerInfo,.ctor(CspParameters),PNSE Unreacheable,X,X,
M:System.Security.Cryptography.DSACng.#ctor,System.Security.Cryptography,DSACng,.ctor(),M:System.Security.Cryptography.DSACng.#ctor,X,X,
M:System.Security.Cryptography.DSACng.#ctor(System.Security.Cryptography.CngKey),System.Security.Cryptography,DSACng,.ctor(CngKey),PNSE Unreacheable,X,X,
M:System.Security.Cryptography.DSACng.#ctor(System.Int32),System.Security.Cryptography,DSACng,.ctor(Int32),PNSE Unreacheable,X,X,
M:System.Security.Cryptography.DSACryptoServiceProvider.#ctor(System.Security.Cryptography.CspParameters),System.Security.Cryptography,DSACryptoServiceProvider,.ctor(CspParameters),PNSE Unreacheable,X,X,
"M:System.Security.Cryptography.DSACryptoServiceProvider.#ctor(System.Int32,System.Security.Cryptography.CspParameters)",System.Security.Cryptography,DSACryptoServiceProvider,".ctor(Int32, CspParameters)",PNSE Unreacheable,X,X,
