DocId,Namespace,Type,Member,Site,linux,osx,win
"M:System.DirectoryServices.AccountManagement.Principal.FindByIdentityWithType(System.DirectoryServices.AccountManagement.PrincipalContext,System.Type,System.DirectoryServices.AccountManagement.IdentityType,System.String)",System.DirectoryServices.AccountManagement,Principal,"FindByIdentityWithType(PrincipalContext, Type, IdentityType, String)","M:System.DirectoryServices.AccountManagement.Principal.FindByIdentityWithType(System.DirectoryServices.AccountManagement.PrincipalContext,System.Type,System.DirectoryServices.AccountManagement.IdentityType,System.String)",X,X,
"M:System.DirectoryServices.AccountManagement.Principal.FindByIdentityWithType(System.DirectoryServices.AccountManagement.PrincipalContext,System.Type,System.String)",System.DirectoryServices.AccountManagement,Principal,"FindByIdentityWithType(PrincipalContext, Type, String)","M:System.DirectoryServices.AccountManagement.Principal.FindByIdentityWithType(System.DirectoryServices.AccountManagement.PrincipalContext,System.Type,System.String)",X,X,
M:System.DirectoryServices.AccountManagement.Principal.get_Context,System.DirectoryServices.AccountManagement,Principal,get_Context(),M:System.DirectoryServices.AccountManagement.Principal.get_Context,X,X,
M:System.DirectoryServices.AccountManagement.Principal.get_ContextRaw,System.DirectoryServices.AccountManagement,Principal,get_ContextRaw(),M:System.DirectoryServices.AccountManagement.Principal.get_ContextRaw,X,X,
M:System.DirectoryServices.AccountManagement.Principal.get_ContextType,System.DirectoryServices.AccountManagement,Principal,get_ContextType(),M:System.DirectoryServices.AccountManagement.Principal.get_ContextType,X,X,
M:System.DirectoryServices.AccountManagement.Principal.get_Description,System.DirectoryServices.AccountManagement,Principal,get_Description(),M:System.DirectoryServices.AccountManagement.Principal.get_Description,X,X,
M:System.DirectoryServices.AccountManagement.Principal.get_DisplayName,System.DirectoryServices.AccountManagement,Principal,get_DisplayName(),M:System.DirectoryServices.AccountManagement.Principal.get_DisplayName,X,X,
M:System.DirectoryServices.AccountManagement.Principal.get_DistinguishedName,System.DirectoryServices.AccountManagement,Principal,get_DistinguishedName(),M:System.DirectoryServices.AccountManagement.Principal.get_DistinguishedName,X,X,
M:System.DirectoryServices.AccountManagement.Principal.get_Guid,System.DirectoryServices.AccountManagement,Principal,get_Guid(),M:System.DirectoryServices.AccountManagement.Principal.get_Guid,X,X,
M:System.DirectoryServices.AccountManagement.Principal.get_Name,System.DirectoryServices.AccountManagement,Principal,get_Name(),M:System.DirectoryServices.AccountManagement.Principal.get_Name,X,X,
M:System.DirectoryServices.AccountManagement.Principal.get_SamAccountName,System.DirectoryServices.AccountManagement,Principal,get_SamAccountName(),M:System.DirectoryServices.AccountManagement.Principal.get_SamAccountName,X,X,
M:System.DirectoryServices.AccountManagement.Principal.get_Sid,System.DirectoryServices.AccountManagement,Principal,get_Sid(),M:System.DirectoryServices.AccountManagement.Principal.get_Sid,X,X,
M:System.DirectoryServices.AccountManagement.Principal.get_StructuralObjectClass,System.DirectoryServices.AccountManagement,Principal,get_StructuralObjectClass(),M:System.DirectoryServices.AccountManagement.Principal.get_StructuralObjectClass,X,X,
M:System.DirectoryServices.AccountManagement.Principal.get_UserPrincipalName,System.DirectoryServices.AccountManagement,Principal,get_UserPrincipalName(),M:System.DirectoryServices.AccountManagement.Principal.get_UserPrincipalName,X,X,
M:System.DirectoryServices.AccountManagement.Principal.GetGroups,System.DirectoryServices.AccountManagement,Principal,GetGroups(),M:System.DirectoryServices.AccountManagement.Principal.GetGroups,X,X,
M:System.DirectoryServices.AccountManagement.Principal.GetGroups(System.DirectoryServices.AccountManagement.PrincipalContext),System.DirectoryServices.AccountManagement,Principal,GetGroups(PrincipalContext),M:System.DirectoryServices.AccountManagement.Principal.GetGroups(System.DirectoryServices.AccountManagement.PrincipalContext),X,X,
M:System.DirectoryServices.AccountManagement.Principal.GetHashCode,System.DirectoryServices.AccountManagement,Principal,GetHashCode(),M:System.DirectoryServices.AccountManagement.Principal.GetHashCode,X,X,
M:System.DirectoryServices.AccountManagement.Principal.GetUnderlyingObject,System.DirectoryServices.AccountManagement,Principal,GetUnderlyingObject(),M:System.DirectoryServices.AccountManagement.Principal.GetUnderlyingObject,X,X,
M:System.DirectoryServices.AccountManagement.Principal.GetUnderlyingObjectType,System.DirectoryServices.AccountManagement,Principal,GetUnderlyingObjectType(),M:System.DirectoryServices.AccountManagement.Principal.GetUnderlyingObjectType,X,X,
M:System.DirectoryServices.AccountManagement.Principal.IsMemberOf(System.DirectoryServices.AccountManagement.GroupPrincipal),System.DirectoryServices.AccountManagement,Principal,IsMemberOf(GroupPrincipal),M:System.DirectoryServices.AccountManagement.Principal.IsMemberOf(System.DirectoryServices.AccountManagement.GroupPrincipal),X,X,
"M:System.DirectoryServices.AccountManagement.Principal.IsMemberOf(System.DirectoryServices.AccountManagement.PrincipalContext,System.DirectoryServices.AccountManagement.IdentityType,System.String)",System.DirectoryServices.AccountManagement,Principal,"IsMemberOf(PrincipalContext, IdentityType, String)","M:System.DirectoryServices.AccountManagement.Principal.IsMemberOf(System.DirectoryServices.AccountManagement.PrincipalContext,System.DirectoryServices.AccountManagement.IdentityType,System.String)",X,X,
M:System.DirectoryServices.AccountManagement.Principal.Save,System.DirectoryServices.AccountManagement,Principal,Save(),M:System.DirectoryServices.AccountManagement.Principal.Save,X,X,
M:System.DirectoryServices.AccountManagement.Principal.Save(System.DirectoryServices.AccountManagement.PrincipalContext),System.DirectoryServices.AccountManagement,Principal,Save(PrincipalContext),M:System.DirectoryServices.AccountManagement.Principal.Save(System.DirectoryServices.AccountManagement.PrincipalContext),X,X,
M:System.DirectoryServices.AccountManagement.Principal.set_ContextRaw(System.DirectoryServices.AccountManagement.PrincipalContext),System.DirectoryServices.AccountManagement,Principal,set_ContextRaw(PrincipalContext),M:System.DirectoryServices.AccountManagement.Principal.set_ContextRaw(System.DirectoryServices.AccountManagement.PrincipalContext),X,X,
M:System.DirectoryServices.AccountManagement.Principal.set_Description(System.String),System.DirectoryServices.AccountManagement,Principal,set_Description(String),M:System.DirectoryServices.AccountManagement.Principal.set_Description(System.String),X,X,
M:System.DirectoryServices.AccountManagement.Principal.set_DisplayName(System.String),System.DirectoryServices.AccountManagement,Principal,set_DisplayName(String),M:System.DirectoryServices.AccountManagement.Principal.set_DisplayName(System.String),X,X,
M:System.DirectoryServices.AccountManagement.Principal.set_Name(System.String),System.DirectoryServices.AccountManagement,Principal,set_Name(String),M:System.DirectoryServices.AccountManagement.Principal.set_Name(System.String),X,X,
M:System.DirectoryServices.AccountManagement.Principal.set_SamAccountName(System.String),System.DirectoryServices.AccountManagement,Principal,set_SamAccountName(String),M:System.DirectoryServices.AccountManagement.Principal.set_SamAccountName(System.String),X,X,
M:System.DirectoryServices.AccountManagement.Principal.set_UserPrincipalName(System.String),System.DirectoryServices.AccountManagement,Principal,set_UserPrincipalName(String),M:System.DirectoryServices.AccountManagement.Principal.set_UserPrincipalName(System.String),X,X,
M:System.DirectoryServices.AccountManagement.Principal.ToString,System.DirectoryServices.AccountManagement,Principal,ToString(),M:System.DirectoryServices.AccountManagement.Principal.ToString,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.Add(System.DirectoryServices.AccountManagement.ComputerPrincipal),System.DirectoryServices.AccountManagement,PrincipalCollection,Add(ComputerPrincipal),M:System.DirectoryServices.AccountManagement.PrincipalCollection.Add(System.DirectoryServices.AccountManagement.ComputerPrincipal),X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.Add(System.DirectoryServices.AccountManagement.GroupPrincipal),System.DirectoryServices.AccountManagement,PrincipalCollection,Add(GroupPrincipal),M:System.DirectoryServices.AccountManagement.PrincipalCollection.Add(System.DirectoryServices.AccountManagement.GroupPrincipal),X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.Add(System.DirectoryServices.AccountManagement.Principal),System.DirectoryServices.AccountManagement,PrincipalCollection,Add(Principal),M:System.DirectoryServices.AccountManagement.PrincipalCollection.Add(System.DirectoryServices.AccountManagement.Principal),X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalCollection.Add(System.DirectoryServices.AccountManagement.PrincipalContext,System.DirectoryServices.AccountManagement.IdentityType,System.String)",System.DirectoryServices.AccountManagement,PrincipalCollection,"Add(PrincipalContext, IdentityType, String)","M:System.DirectoryServices.AccountManagement.PrincipalCollection.Add(System.DirectoryServices.AccountManagement.PrincipalContext,System.DirectoryServices.AccountManagement.IdentityType,System.String)",X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.Add(System.DirectoryServices.AccountManagement.UserPrincipal),System.DirectoryServices.AccountManagement,PrincipalCollection,Add(UserPrincipal),M:System.DirectoryServices.AccountManagement.PrincipalCollection.Add(System.DirectoryServices.AccountManagement.UserPrincipal),X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.Clear,System.DirectoryServices.AccountManagement,PrincipalCollection,Clear(),M:System.DirectoryServices.AccountManagement.PrincipalCollection.Clear,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.Contains(System.DirectoryServices.AccountManagement.ComputerPrincipal),System.DirectoryServices.AccountManagement,PrincipalCollection,Contains(ComputerPrincipal),M:System.DirectoryServices.AccountManagement.PrincipalCollection.Contains(System.DirectoryServices.AccountManagement.ComputerPrincipal),X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.Contains(System.DirectoryServices.AccountManagement.GroupPrincipal),System.DirectoryServices.AccountManagement,PrincipalCollection,Contains(GroupPrincipal),M:System.DirectoryServices.AccountManagement.PrincipalCollection.Contains(System.DirectoryServices.AccountManagement.GroupPrincipal),X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.Contains(System.DirectoryServices.AccountManagement.Principal),System.DirectoryServices.AccountManagement,PrincipalCollection,Contains(Principal),M:System.DirectoryServices.AccountManagement.PrincipalCollection.Contains(System.DirectoryServices.AccountManagement.Principal),X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalCollection.Contains(System.DirectoryServices.AccountManagement.PrincipalContext,System.DirectoryServices.AccountManagement.IdentityType,System.String)",System.DirectoryServices.AccountManagement,PrincipalCollection,"Contains(PrincipalContext, IdentityType, String)","M:System.DirectoryServices.AccountManagement.PrincipalCollection.Contains(System.DirectoryServices.AccountManagement.PrincipalContext,System.DirectoryServices.AccountManagement.IdentityType,System.String)",X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.Contains(System.DirectoryServices.AccountManagement.UserPrincipal),System.DirectoryServices.AccountManagement,PrincipalCollection,Contains(UserPrincipal),M:System.DirectoryServices.AccountManagement.PrincipalCollection.Contains(System.DirectoryServices.AccountManagement.UserPrincipal),X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalCollection.CopyTo(System.DirectoryServices.AccountManagement.Principal[],System.Int32)",System.DirectoryServices.AccountManagement,PrincipalCollection,"CopyTo(Principal[], Int32)","M:System.DirectoryServices.AccountManagement.PrincipalCollection.CopyTo(System.DirectoryServices.AccountManagement.Principal[],System.Int32)",X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.get_Count,System.DirectoryServices.AccountManagement,PrincipalCollection,get_Count(),M:System.DirectoryServices.AccountManagement.PrincipalCollection.get_Count,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.get_IsReadOnly,System.DirectoryServices.AccountManagement,PrincipalCollection,get_IsReadOnly(),M:System.DirectoryServices.AccountManagement.PrincipalCollection.get_IsReadOnly,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.get_IsSynchronized,System.DirectoryServices.AccountManagement,PrincipalCollection,get_IsSynchronized(),M:System.DirectoryServices.AccountManagement.PrincipalCollection.get_IsSynchronized,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.get_SyncRoot,System.DirectoryServices.AccountManagement,PrincipalCollection,get_SyncRoot(),M:System.DirectoryServices.AccountManagement.PrincipalCollection.get_SyncRoot,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.GetEnumerator,System.DirectoryServices.AccountManagement,PrincipalCollection,GetEnumerator(),M:System.DirectoryServices.AccountManagement.PrincipalCollection.GetEnumerator,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.Remove(System.DirectoryServices.AccountManagement.ComputerPrincipal),System.DirectoryServices.AccountManagement,PrincipalCollection,Remove(ComputerPrincipal),M:System.DirectoryServices.AccountManagement.PrincipalCollection.Remove(System.DirectoryServices.AccountManagement.ComputerPrincipal),X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.Remove(System.DirectoryServices.AccountManagement.GroupPrincipal),System.DirectoryServices.AccountManagement,PrincipalCollection,Remove(GroupPrincipal),M:System.DirectoryServices.AccountManagement.PrincipalCollection.Remove(System.DirectoryServices.AccountManagement.GroupPrincipal),X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.Remove(System.DirectoryServices.AccountManagement.Principal),System.DirectoryServices.AccountManagement,PrincipalCollection,Remove(Principal),M:System.DirectoryServices.AccountManagement.PrincipalCollection.Remove(System.DirectoryServices.AccountManagement.Principal),X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalCollection.Remove(System.DirectoryServices.AccountManagement.PrincipalContext,System.DirectoryServices.AccountManagement.IdentityType,System.String)",System.DirectoryServices.AccountManagement,PrincipalCollection,"Remove(PrincipalContext, IdentityType, String)","M:System.DirectoryServices.AccountManagement.PrincipalCollection.Remove(System.DirectoryServices.AccountManagement.PrincipalContext,System.DirectoryServices.AccountManagement.IdentityType,System.String)",X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.Remove(System.DirectoryServices.AccountManagement.UserPrincipal),System.DirectoryServices.AccountManagement,PrincipalCollection,Remove(UserPrincipal),M:System.DirectoryServices.AccountManagement.PrincipalCollection.Remove(System.DirectoryServices.AccountManagement.UserPrincipal),X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalCollection.System#Collections#ICollection#CopyTo(System.Array,System.Int32)",System.DirectoryServices.AccountManagement,PrincipalCollection,"System.Collections.ICollection.CopyTo(Array, Int32)","M:System.DirectoryServices.AccountManagement.PrincipalCollection.System#Collections#ICollection#CopyTo(System.Array,System.Int32)",X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.System#Collections#ICollection#get_Count,System.DirectoryServices.AccountManagement,PrincipalCollection,System.Collections.ICollection.get_Count(),M:System.DirectoryServices.AccountManagement.PrincipalCollection.System#Collections#ICollection#get_Count,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.System#Collections#ICollection#get_IsSynchronized,System.DirectoryServices.AccountManagement,PrincipalCollection,System.Collections.ICollection.get_IsSynchronized(),M:System.DirectoryServices.AccountManagement.PrincipalCollection.System#Collections#ICollection#get_IsSynchronized,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.System#Collections#ICollection#get_SyncRoot,System.DirectoryServices.AccountManagement,PrincipalCollection,System.Collections.ICollection.get_SyncRoot(),M:System.DirectoryServices.AccountManagement.PrincipalCollection.System#Collections#ICollection#get_SyncRoot,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalCollection.System#Collections#IEnumerable#GetEnumerator,System.DirectoryServices.AccountManagement,PrincipalCollection,System.Collections.IEnumerable.GetEnumerator(),M:System.DirectoryServices.AccountManagement.PrincipalCollection.System#Collections#IEnumerable#GetEnumerator,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType),System.DirectoryServices.AccountManagement,PrincipalContext,.ctor(ContextType),M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType),X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType,System.String)",System.DirectoryServices.AccountManagement,PrincipalContext,".ctor(ContextType, String)","M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType,System.String)",X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType,System.String,System.String)",System.DirectoryServices.AccountManagement,PrincipalContext,".ctor(ContextType, String, String)","M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType,System.String,System.String)",X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType,System.String,System.String,System.DirectoryServices.AccountManagement.ContextOptions)",System.DirectoryServices.AccountManagement,PrincipalContext,".ctor(ContextType, String, String, ContextOptions)","M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType,System.String,System.String,System.DirectoryServices.AccountManagement.ContextOptions)",X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType,System.String,System.String,System.DirectoryServices.AccountManagement.ContextOptions,System.String,System.String)",System.DirectoryServices.AccountManagement,PrincipalContext,".ctor(ContextType, String, String, ContextOptions, String, String)","M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType,System.String,System.String,System.DirectoryServices.AccountManagement.ContextOptions,System.String,System.String)",X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType,System.String,System.String,System.String)",System.DirectoryServices.AccountManagement,PrincipalContext,".ctor(ContextType, String, String, String)","M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType,System.String,System.String,System.String)",X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType,System.String,System.String,System.String,System.String)",System.DirectoryServices.AccountManagement,PrincipalContext,".ctor(ContextType, String, String, String, String)","M:System.DirectoryServices.AccountManagement.PrincipalContext.#ctor(System.DirectoryServices.AccountManagement.ContextType,System.String,System.String,System.String,System.String)",X,X,
M:System.DirectoryServices.AccountManagement.PrincipalContext.Dispose,System.DirectoryServices.AccountManagement,PrincipalContext,Dispose(),M:System.DirectoryServices.AccountManagement.PrincipalContext.Dispose,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalContext.get_ConnectedServer,System.DirectoryServices.AccountManagement,PrincipalContext,get_ConnectedServer(),M:System.DirectoryServices.AccountManagement.PrincipalContext.get_ConnectedServer,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalContext.get_Container,System.DirectoryServices.AccountManagement,PrincipalContext,get_Container(),M:System.DirectoryServices.AccountManagement.PrincipalContext.get_Container,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalContext.get_ContextType,System.DirectoryServices.AccountManagement,PrincipalContext,get_ContextType(),M:System.DirectoryServices.AccountManagement.PrincipalContext.get_ContextType,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalContext.get_Name,System.DirectoryServices.AccountManagement,PrincipalContext,get_Name(),M:System.DirectoryServices.AccountManagement.PrincipalContext.get_Name,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalContext.get_Options,System.DirectoryServices.AccountManagement,PrincipalContext,get_Options(),M:System.DirectoryServices.AccountManagement.PrincipalContext.get_Options,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalContext.get_UserName,System.DirectoryServices.AccountManagement,PrincipalContext,get_UserName(),M:System.DirectoryServices.AccountManagement.PrincipalContext.get_UserName,X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalContext.ValidateCredentials(System.String,System.String)",System.DirectoryServices.AccountManagement,PrincipalContext,"ValidateCredentials(String, String)","M:System.DirectoryServices.AccountManagement.PrincipalContext.ValidateCredentials(System.String,System.String)",X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalContext.ValidateCredentials(System.String,System.String,System.DirectoryServices.AccountManagement.ContextOptions)",System.DirectoryServices.AccountManagement,PrincipalContext,"ValidateCredentials(String, String, ContextOptions)","M:System.DirectoryServices.AccountManagement.PrincipalContext.ValidateCredentials(System.String,System.String,System.DirectoryServices.AccountManagement.ContextOptions)",X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.DirectoryServices.AccountManagement,PrincipalException,".ctor(SerializationInfo, StreamingContext)","M:System.DirectoryServices.AccountManagement.PrincipalException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
M:System.DirectoryServices.AccountManagement.PrincipalExistsException.#ctor,System.DirectoryServices.AccountManagement,PrincipalExistsException,.ctor(),M:System.DirectoryServices.AccountManagement.PrincipalExistsException.#ctor,X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalExistsException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.DirectoryServices.AccountManagement,PrincipalExistsException,".ctor(SerializationInfo, StreamingContext)","M:System.DirectoryServices.AccountManagement.PrincipalExistsException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
M:System.DirectoryServices.AccountManagement.PrincipalExistsException.#ctor(System.String),System.DirectoryServices.AccountManagement,PrincipalExistsException,.ctor(String),M:System.DirectoryServices.AccountManagement.PrincipalExistsException.#ctor(System.String),X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalExistsException.#ctor(System.String,System.Exception)",System.DirectoryServices.AccountManagement,PrincipalExistsException,".ctor(String, Exception)","M:System.DirectoryServices.AccountManagement.PrincipalExistsException.#ctor(System.String,System.Exception)",X,X,
M:System.DirectoryServices.AccountManagement.PrincipalOperationException.#ctor,System.DirectoryServices.AccountManagement,PrincipalOperationException,.ctor(),M:System.DirectoryServices.AccountManagement.PrincipalOperationException.#ctor,X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalOperationException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.DirectoryServices.AccountManagement,PrincipalOperationException,".ctor(SerializationInfo, StreamingContext)","M:System.DirectoryServices.AccountManagement.PrincipalOperationException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
M:System.DirectoryServices.AccountManagement.PrincipalOperationException.#ctor(System.String),System.DirectoryServices.AccountManagement,PrincipalOperationException,.ctor(String),M:System.DirectoryServices.AccountManagement.PrincipalOperationException.#ctor(System.String),X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalOperationException.#ctor(System.String,System.Exception)",System.DirectoryServices.AccountManagement,PrincipalOperationException,".ctor(String, Exception)","M:System.DirectoryServices.AccountManagement.PrincipalOperationException.#ctor(System.String,System.Exception)",X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalOperationException.#ctor(System.String,System.Exception,System.Int32)",System.DirectoryServices.AccountManagement,PrincipalOperationException,".ctor(String, Exception, Int32)","M:System.DirectoryServices.AccountManagement.PrincipalOperationException.#ctor(System.String,System.Exception,System.Int32)",X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalOperationException.#ctor(System.String,System.Int32)",System.DirectoryServices.AccountManagement,PrincipalOperationException,".ctor(String, Int32)","M:System.DirectoryServices.AccountManagement.PrincipalOperationException.#ctor(System.String,System.Int32)",X,X,
M:System.DirectoryServices.AccountManagement.PrincipalOperationException.get_ErrorCode,System.DirectoryServices.AccountManagement,PrincipalOperationException,get_ErrorCode(),M:System.DirectoryServices.AccountManagement.PrincipalOperationException.get_ErrorCode,X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalOperationException.GetObjectData(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.DirectoryServices.AccountManagement,PrincipalOperationException,"GetObjectData(SerializationInfo, StreamingContext)","M:System.DirectoryServices.AccountManagement.PrincipalOperationException.GetObjectData(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
M:System.DirectoryServices.AccountManagement.PrincipalSearcher.#ctor,System.DirectoryServices.AccountManagement,PrincipalSearcher,.ctor(),M:System.DirectoryServices.AccountManagement.PrincipalSearcher.#ctor,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalSearcher.#ctor(System.DirectoryServices.AccountManagement.Principal),System.DirectoryServices.AccountManagement,PrincipalSearcher,.ctor(Principal),M:System.DirectoryServices.AccountManagement.PrincipalSearcher.#ctor(System.DirectoryServices.AccountManagement.Principal),X,X,
M:System.DirectoryServices.AccountManagement.PrincipalSearcher.Dispose,System.DirectoryServices.AccountManagement,PrincipalSearcher,Dispose(),M:System.DirectoryServices.AccountManagement.PrincipalSearcher.Dispose,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalSearcher.FindAll,System.DirectoryServices.AccountManagement,PrincipalSearcher,FindAll(),M:System.DirectoryServices.AccountManagement.PrincipalSearcher.FindAll,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalSearcher.FindOne,System.DirectoryServices.AccountManagement,PrincipalSearcher,FindOne(),M:System.DirectoryServices.AccountManagement.PrincipalSearcher.FindOne,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalSearcher.get_Context,System.DirectoryServices.AccountManagement,PrincipalSearcher,get_Context(),M:System.DirectoryServices.AccountManagement.PrincipalSearcher.get_Context,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalSearcher.get_QueryFilter,System.DirectoryServices.AccountManagement,PrincipalSearcher,get_QueryFilter(),M:System.DirectoryServices.AccountManagement.PrincipalSearcher.get_QueryFilter,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalSearcher.GetUnderlyingSearcher,System.DirectoryServices.AccountManagement,PrincipalSearcher,GetUnderlyingSearcher(),M:System.DirectoryServices.AccountManagement.PrincipalSearcher.GetUnderlyingSearcher,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalSearcher.GetUnderlyingSearcherType,System.DirectoryServices.AccountManagement,PrincipalSearcher,GetUnderlyingSearcherType(),M:System.DirectoryServices.AccountManagement.PrincipalSearcher.GetUnderlyingSearcherType,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalSearcher.set_QueryFilter(System.DirectoryServices.AccountManagement.Principal),System.DirectoryServices.AccountManagement,PrincipalSearcher,set_QueryFilter(Principal),M:System.DirectoryServices.AccountManagement.PrincipalSearcher.set_QueryFilter(System.DirectoryServices.AccountManagement.Principal),X,X,
M:System.DirectoryServices.AccountManagement.PrincipalSearchResult`1.Dispose,System.DirectoryServices.AccountManagement,PrincipalSearchResult,Dispose(),M:System.DirectoryServices.AccountManagement.PrincipalSearchResult`1.Dispose,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalSearchResult`1.GetEnumerator,System.DirectoryServices.AccountManagement,PrincipalSearchResult,GetEnumerator(),M:System.DirectoryServices.AccountManagement.PrincipalSearchResult`1.GetEnumerator,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalSearchResult`1.System#Collections#IEnumerable#GetEnumerator,System.DirectoryServices.AccountManagement,PrincipalSearchResult,System.Collections.IEnumerable.GetEnumerator(),M:System.DirectoryServices.AccountManagement.PrincipalSearchResult`1.System#Collections#IEnumerable#GetEnumerator,X,X,
M:System.DirectoryServices.AccountManagement.PrincipalServerDownException.#ctor,System.DirectoryServices.AccountManagement,PrincipalServerDownException,.ctor(),M:System.DirectoryServices.AccountManagement.PrincipalServerDownException.#ctor,X,X,
"M:System.DirectoryServices.AccountManagement.PrincipalServerDownException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.DirectoryServices.AccountManagement,PrincipalServerDownException,".ctor(SerializationInfo, StreamingContext)","M:System.DirectoryServices.AccountManagement.PrincipalServerDownException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
