DocId,Namespace,Type,Member,Site,linux,osx,win
M:System.ServiceModel.NetHttpsBinding.#ctor(System.ServiceModel.BasicHttpsSecurityMode),System.ServiceModel,NetHttpsBinding,.ctor(BasicHttpsSecurityMode),M:System.ServiceModel.NetHttpsBinding.#ctor(System.ServiceModel.BasicHttpsSecurityMode),X,X,
M:System.ServiceModel.NetHttpsBinding.CreateBindingElements,System.ServiceModel,NetHttpsBinding,CreateBindingElements(),M:System.ServiceModel.NetHttpsBinding.CreateBindingElements,X,X,
M:System.ServiceModel.NetTcpBinding.#ctor(System.String),System.ServiceModel,NetTcpBinding,.ctor(String),M:System.ServiceModel.NetTcpBinding.#ctor(System.String),X,X,
M:System.ServiceModel.NetTcpBinding.CreateBindingElements,System.ServiceModel,NetTcpBinding,CreateBindingElements(),M:System.ServiceModel.NetTcpBinding.CreateMessageSecurity,X,X,
"M:System.ServiceModel.ProtocolException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.ServiceModel,ProtocolException,".ctor(SerializationInfo, StreamingContext)","M:System.ServiceModel.ProtocolException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
"M:System.ServiceModel.QuotaExceededException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.ServiceModel,QuotaExceededException,".ctor(SerializationInfo, StreamingContext)","M:System.ServiceModel.QuotaExceededException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
"M:System.ServiceModel.ServerTooBusyException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.ServiceModel,ServerTooBusyException,".ctor(SerializationInfo, StreamingContext)","M:System.ServiceModel.ServerTooBusyException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
"M:System.ServiceModel.ServiceActivationException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",System.ServiceModel,ServiceActivationException,".ctor(SerializationInfo, StreamingContext)","M:System.ServiceModel.ServiceActivationException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",X,X,
M:System.ServiceModel.Channels.AddressHeader.Equals(System.Object),System.ServiceModel.Channels,AddressHeader,Equals(Object),M:System.ServiceModel.Channels.AddressHeader.GetComparableReader,X,X,
M:System.ServiceModel.Channels.AddressHeader.GetHashCode,System.ServiceModel.Channels,AddressHeader,GetHashCode(),M:System.ServiceModel.Channels.AddressHeader.GetComparableReader,X,X,
"M:System.ServiceModel.Channels.BodyWriter.BeginWriteBodyContents(System.Xml.XmlDictionaryWriter,System.AsyncCallback,System.Object)",System.ServiceModel.Channels,BodyWriter,"BeginWriteBodyContents(XmlDictionaryWriter, AsyncCallback, Object)","M:System.ServiceModel.Channels.BodyWriter.OnBeginWriteBodyContents(System.Xml.XmlDictionaryWriter,System.AsyncCallback,System.Object)",X,X,
